Metadata associated with the characterized prophages
Host AccesionNumber,PhageID,SpeciesID,GenusID,IsolationSource,Host,Country
GCA_013742375,CP056727.1||0.1,101,139,Environmental,E. hormaechei,United Kingdom
GCA_005890075,CP040606.1||1,102,6,Environmental,E. ludwigii,China
GCA_006385915,CP041062.1||1,102,6,Environmental,E. ludwigii,China
GCA_029718255,CP099310.1||1,102,6,Environmental,E. ludwigii,United Kingdom
GCA_035323105,CP133410.1||2,102,6,Environmental,E. ludwigii,Spain
GCA_019537235,JAIEUD010000001.1||2,103,14,Human,E. hormaechei,China
GCA_019537255,JAIEUE010000001.1||2,103,14,Human,E. hormaechei,China
GCA_019537315,JAIEUC010000001.1||2,103,14,Human,E. hormaechei,China
GCA_019537335,JAIEUF010000001.1||2,103,14,Human,E. hormaechei,China
GCA_023734795,AP025766.1||full,104,3,N/A,E. hormaechei,N/A
GCA_023734815,AP025769.1||full,104,3,N/A,E. hormaechei,N/A
GCA_023734875,AP025776.1||full,104,3,N/A,E. hormaechei,N/A
GCA_023735255,AP025814.1||full,104,3,N/A,E. hormaechei,N/A
GCA_013873655,CP059414.1||0.3,105,181,Human,E. hormaechei,Czech Republic
GCA_013873945,CP059422.1||0.1,105,181,Human,E. hormaechei,Czech Republic
GCA_020695485,CP085748.1||0.3,105,181,Human,E. hormaechei,Czech Republic
GCA_020695585,CP085753.1||0.2,105,181,Human,E. hormaechei,Czech Republic
GCA_013873655,CP059414.1||0.1,106,182,Human,E. hormaechei,Czech Republic
GCA_013873945,CP059422.1||1,106,182,Human,E. hormaechei,Czech Republic
GCA_020695485,CP085748.1||0.1,106,182,Human,E. hormaechei,Czech Republic
GCA_020695585,CP085753.1||1,106,182,Human,E. hormaechei,Czech Republic
GCA_030847705,CP126831.1||0.2,107,183,Human,E. hormaechei,Switzerland
GCA_030847725,CP126837.1||0.2,107,183,Human,E. hormaechei,Switzerland
GCA_032202365,CP126834.1||0.1,107,183,Human,E. hormaechei,Switzerland
GCA_032202545,CP126841.1||0.2,107,183,Human,E. hormaechei,Switzerland
GCA_002055735,CP020053.1||3,108,141,N/A,E. hormaechei,N/A
GCA_029719845,CP099316.1||0.1,108,141,Environmental,E. hormaechei,United Kingdom
GCA_029719865,CP099314.1||0.1,108,141,Environmental,E. hormaechei,United Kingdom
GCA_032231155,CP135117.1||1,108,141,Environmental,E. hormaechei,China
GCA_003186415,CP021162.1||1,109,184,Human,E. hormaechei,USA
GCA_003186565,CP021167.1||1,109,184,N/A,E. hormaechei,USA
GCA_008931785,CP043766.1||2,109,184,Human,E. hormaechei,United Kingdom
GCA_905330345,OW968018.1||0,109,184,Human,E. hormaechei,Spain
GCA_038418305,CP157756.1||1,110,185,Human,E. hormaechei,USA
GCA_040455895,CP167101.1||1,110,185,Human,E. hormaechei,USA
GCA_905232815,OW849516.1||2,110,185,Human,E. hormaechei,Spain
GCA_905329565,OW967363.1||2,110,185,Human,E. hormaechei,Spain
GCA_013873655,CP059414.1||0.2,111,186,Human,E. hormaechei,Czech Republic
GCA_013873945,CP059422.1||0.2,111,186,Human,E. hormaechei,Czech Republic
GCA_020695485,CP085748.1||0.2,111,186,Human,E. hormaechei,Czech Republic
GCA_020695585,CP085753.1||0.1,111,186,Human,E. hormaechei,Czech Republic
GCA_019537235,JAIEUD010000001.1||0,112,187,Human,E. hormaechei,China
GCA_019537255,JAIEUE010000001.1||0,112,187,Human,E. hormaechei,China
GCA_019537315,JAIEUC010000001.1||0,112,187,Human,E. hormaechei,China
GCA_019537335,JAIEUF010000001.1||0,112,187,Human,E. hormaechei,China
GCA_027886505,CP115672.1||1,113,188,Human,E. hormaechei,USA
GCA_027886545,CP115696.1||1,113,188,Human,E. hormaechei,USA
GCA_029719585,CP099318.1||2,113,188,Environmental,E. hormaechei,United Kingdom
GCA_029948145,CP124121.1||1,113,188,Human,E. hormaechei,USA
GCA_025311535,CP104401.1||1,114,189,N/A,E. hormaechei,Poland
GCA_025311555,CP104403.1||1,114,189,N/A,E. hormaechei,Poland
GCA_025311595,CP104405.1||0,114,189,N/A,E. hormaechei,Poland
GCA_900497145,LS999206.1||2,114,189,N/A,E. hormaechei,N/A
GCA_002201815,CP021896.1||0.1,115,116,N/A,E. hormaechei,N/A
GCA_003031445,CP020525.1||0.1,115,116,Human,E. hormaechei,USA
GCA_009834325,CP034754.1||0.1,115,116,N/A,E. hormaechei,USA
GCA_028898905,CP118567.1||0.1,115,116,Human,E. hormaechei,USA
GCA_905232045,OW849173.1||0,116,69,Human,E. hormaechei,Spain
GCA_905232125,OW849162.1||0,116,69,Human,E. hormaechei,Spain
GCA_905232625,OW849142.1||0,116,69,Human,E. hormaechei,Spain
GCA_905232645,OW849360.1||0,116,69,Human,E. hormaechei,Spain
GCA_015910205,CP047715.1||1,117,190,Environmental,E. hormaechei,Canada
GCA_015910245,CP047729.1||1,117,190,Clinical,E. hormaechei,Canada
GCA_022023915,CP066101.1||1,117,190,Clinical,E. hormaechei,Canada
GCA_022023955,CP066108.1||1,117,190,Clinical,E. hormaechei,Canada
GCA_016725825,CP068215.1||4,118,53,N/A,E. hormaechei,Germany
GCA_018597075,CP128417.1||4,118,53,Human,E. hormaechei,China
GCA_021491615,CP090792.1||4,118,53,Human,E. hormaechei,China
GCA_030847985,CP126774.1||3,118,53,Human,E. hormaechei,Switzerland
GCA_015910205,CP047715.1||0,119,123,Environmental,E. hormaechei,Canada
GCA_015910245,CP047729.1||0,119,123,Clinical,E. hormaechei,Canada
GCA_022023915,CP066101.1||0,119,123,Clinical,E. hormaechei,Canada
GCA_022023955,CP066108.1||0,119,123,Clinical,E. hormaechei,Canada
GCA_013625795,CP058164.1||1,120,93,Environmental,E. hormaechei,United Kingdom
GCA_021725435,CP091319.1||2,120,93,Human,E. hormaechei,China
GCA_030847805,CP126864.1||3,120,93,Animal,E. hormaechei,Switzerland
GCA_905231985,OW849457.1||3,120,93,Human,E. hormaechei,Spain
Isolate phage,OL744214.1,121,191,N/A,Isolate phage,Mexico
Isolate phage,OL744219.1,121,191,N/A,Isolate phage,Mexico
Isolate phage,OL744216.1,121,191,N/A,Isolate phage,Mexico
Isolate phage,OL744211.1,121,191,N/A,Isolate phage,Mexico
GCA_014771415,CP061744.1||2,122,87,Human,E. hormaechei,China
GCA_015535055,CP064656.1||2,122,87,Human,E. hormaechei,China
GCA_030847905,CP126753.1||3,122,87,Animal,E. hormaechei,Switzerland
GCA_030847925,CP126757.1||3,122,87,Animal,E. hormaechei,Switzerland
GCA_000750225,CP008897.1||1,123,28,Clinical,E. hormaechei,USA
GCA_000750275,CP008905.1||1,123,28,Human,E. hormaechei,USA
GCA_000784905,CP009854.1||1,123,28,Environmental,E. hormaechei,USA
GCA_016864035,CP045312.1||5,123,28,N/A,E. hormaechei,Netherlands
GCA_905232475,OW849178.1||1,124,88,Human,E. hormaechei,Spain
GCA_905232485,OW849532.1||1,124,88,Human,E. hormaechei,Spain
GCA_905232495,OW849474.1||1,124,88,Human,E. hormaechei,Spain
GCA_905330795,OW968139.1||1,124,88,Human,E. hormaechei,Spain
GCA_905232075,OW849508.1||0,125,140,Human,E. hormaechei,Spain
GCA_905232535,OW849188.1||0,125,140,Human,E. hormaechei,Spain
GCA_905331005,OW968396.1||0,125,140,Human,E. hormaechei,Spain
GCA_905335515,OW969698.1||0,125,140,Human,E. hormaechei,Spain
GCA_027886505,CP115672.1||0,126,136,Human,E. hormaechei,USA
GCA_027886545,CP115696.1||0,126,136,Human,E. hormaechei,USA
GCA_029719585,CP099318.1||0,126,136,Environmental,E. hormaechei,United Kingdom
GCA_029948145,CP124121.1||0,126,136,Human,E. hormaechei,USA
GCA_013733565,CP056174.1||6,127,267,Environmental,E. hormaechei,United Kingdom
GCA_013734915,CP056691.1||4,127,267,Environmental,E. hormaechei,United Kingdom
GCA_013736395,CP056460.1||5,127,267,Environmental,E. hormaechei,United Kingdom
GCA_009834325,CP034754.1||2,128,20,N/A,E. hormaechei,USA
GCA_024182025,AP025842.1||4,128,20,N/A,E. hormaechei,Japan
GCA_905322485,OW967485.1||0.1,128,20,Human,E. hormaechei,Spain
GCA_001750725,CP017279.1||2,129,81,N/A,E. ludwigii,N/A
GCA_003010695,CP027618.1||3,129,81,N/A,E. ludwigii,N/A
GCA_019047005,CP077223.1||2,129,81,N/A,E. ludwigii,Germany
GCA_000235765,CP003678.1||1,130,34,N/A,E. cloacae,N/A
GCA_006228165,CP040827.1||2,130,34,N/A,E. cloacae,Thailand
GCA_024917615,CP103611.1||3,130,34,Human,E. cloacae,USA
GCA_003010695,CP027618.1||2,131,6,N/A,E. ludwigii,N/A
GCA_029718315,CP099309.1||0,131,6,Environmental,E. ludwigii,United Kingdom
GCA_033954935,CP128460.1||0,131,6,Animal,E. ludwigii,Switzerland
GCA_003031755,CP020528.1||0.1,132,268,Human,E. hormaechei,USA
GCA_030718955,CP132209.1||1.1,132,268,Human,E. hormaechei,USA
GCA_041004475,CP163090.1||0.1,132,268,Human,E. hormaechei,China
GCA_013731155,CP056156.1||0,133,101,N/A,E. hormaechei,N/A
GCA_013743295,CP056742.1||1,133,101,Environmental,E. hormaechei,United Kingdom
GCA_013743935,CP056751.1||1,133,101,Environmental,E. hormaechei,United Kingdom
GCA_010319625,AP019820.1||full,134,130,N/A,E. hormaechei,N/A
GCA_023735335,AP025826.1||full,134,130,N/A,E. hormaechei,N/A
GCA_024182025,AP025844.1||full,134,130,N/A,E. hormaechei,N/A
GCA_001750725,CP017279.1||1,135,6,N/A,E. ludwigii,N/A
GCA_019047005,CP077223.1||1,135,6,N/A,E. ludwigii,Germany
GCA_029834565,CP122442.1||5,135,6,N/A,E. ludwigii,Czech Republic
GCA_000025565,CP001918.1||3,136,79,N/A,E. cloacae,N/A
GCA_013376815,CP056776.1||5,136,79,N/A,E. cloacae,N/A
GCA_019047105,CP077211.1||3,136,79,N/A,E. cloacae,Germany
Isolate phage,KP791807.1,137,172,N/A,Isolate phage,Portugal
Isolate phage,KP791805.1,137,172,N/A,Isolate phage,Portugal
Isolate phage,NC_029102.1,137,172,N/A,Isolate phage,Portugal
GCA_015910385,CP047765.1||3,138,269,Clinical,E. hormaechei,Canada
GCA_020695365,CP085743.1||1,138,269,Human,E. hormaechei,Czech Republic
GCA_020695605,CP085757.1||1,138,269,Human,E. hormaechei,Czech Republic
GCA_013784105,CP056393.1||3,139,6,Environmental,E. ludwigii,United Kingdom
GCA_031851585,CP134670.1||1,139,6,N/A,E. ludwigii,France
GCA_031851605,CP134671.1||1,139,6,N/A,E. ludwigii,France
GCA_015910385,CP047765.1||4,140,270,Clinical,E. hormaechei,Canada
GCA_020695365,CP085743.1||2,140,270,Human,E. hormaechei,Czech Republic
GCA_020695605,CP085757.1||3,140,270,Human,E. hormaechei,Czech Republic
GCA_009930835,CP023569.1||0,141,271,Human,E. hormaechei,USA
GCA_009930935,CP027111.1||0,141,271,N/A,E. hormaechei,USA
GCA_905232785,OW849167.1||0,141,271,Human,E. hormaechei,Spain
GCA_007035805,AP019630.1||3,142,4,N/A,E. asburiae,Japan
GCA_023023045,CP083815.1||4,142,4,Human,E. asburiae,China
GCA_027595525,CP074448.1||2,142,4,Human,E. asburiae,USA
GCA_905231985,OW849457.1||1,143,16,Human,E. hormaechei,Spain
GCA_905233055,OW849302.1||1,143,16,Human,E. hormaechei,Spain
GCA_905329655,OW967210.1||1,143,16,Human,E. hormaechei,Spain
GCA_014041955,CP059481.1||5,144,23,Human,E. kobei,Italy
GCA_019458525,CP080470.1||4,144,23,Human,E. hormaechei,China
GCA_023547225,CP088221.1||4,144,23,Human,E. hormaechei,China
GCA_020695705,CP085774.1||2,145,142,Human,E. hormaechei,Czech Republic
GCA_024917635,CP103642.1||2,145,142,Human,E. hormaechei,USA
GCA_041005965,CP163118.1||1,145,142,Human,E. hormaechei,China
GCA_002787395,CP024812.1||2,146,24,Human,E. hormaechei,South Korea
GCA_020886835,AP024913.1||3,146,24,N/A,E. hormaechei,Japan
GCA_030847985,CP126774.1||1,146,24,Human,E. hormaechei,Switzerland
GCA_021869645,CP091495.1||full,147,272,N/A,E. asburiae,China
GCA_021869645,CP091492.1||0,147,272,Clinical,E. asburiae,China
GCA_025908375,CP109679.1||0,147,272,Human,E. asburiae,Taiwan
GCA_000770155,CP009756.1||1,148,34,N/A,E. cloacae,South Korea
GCA_020540925,CP085080.1||1,148,34,Human,E. cloacae,South Africa
GCA_040834085,CP162155.1||2,148,34,Environmental,E. cloacae,Switzerland
GCA_013733565,CP056174.1||5,149,159,Environmental,E. hormaechei,United Kingdom
GCA_013734275,CP056676.1||4,149,159,Environmental,E. hormaechei,United Kingdom
GCA_013736395,CP056460.1||4,149,159,Environmental,E. hormaechei,United Kingdom
GCA_027577865,CP114144.1||2,150,273,Human,E. hormaechei,USA
GCA_028872235,CP118383.1||2,150,273,Human,E. hormaechei,USA
GCA_028891505,CP118552.1||2,150,273,Human,E. hormaechei,USA
GCA_003264955,CP030077.1||1,151,274,Human,E. hormaechei,China
GCA_019856235,CP082149.1||0,151,274,Human,E. kobei,China
GCA_041410215,CP166978.1||1,151,274,Human,E. hormaechei,Taiwan
GCA_008123985,CP043225.1||0,152,275,Animal,E. hormaechei,N/A
GCA_008124025,CP043226.1||0,152,275,Animal,E. hormaechei,N/A
GCA_905334015,OW969620.1||1,152,275,Human,E. hormaechei,Spain
GCA_000025565,CP001918.1||4,153,63,N/A,E. cloacae,N/A
GCA_013376815,CP056776.1||3,153,63,N/A,E. cloacae,N/A
GCA_019047105,CP077211.1||4,153,63,N/A,E. cloacae,Germany
GCA_019355415,CP049290.1||0.2,154,92,Human,E. hormaechei,China
GCA_030847745,CP126844.1||0,154,92,Human,E. hormaechei,Switzerland
GCA_030847765,CP126847.1||0,154,92,Human,E. hormaechei,Switzerland
GCA_030848065,CP126783.1||3,155,276,Human,E. hormaechei,Switzerland
GCA_030863665,CP114985.1||4,155,276,Animal,E. hormaechei,Thailand
GCA_032202905,CP126778.1||4,155,276,Human,E. hormaechei,Switzerland
GCA_002055735,CP020053.1||1,156,277,N/A,E. hormaechei,N/A
GCA_015137855,AP022509.1||0,156,277,N/A,E. hormaechei,Japan
GCA_032231155,CP135117.1||0,156,277,Environmental,E. hormaechei,China
GCA_000814225,CP010384.1||1,157,278,Human,E. hormaechei,USA
GCA_003053755,CP027604.1||0,157,278,N/A,E. hormaechei,N/A
GCA_905233035,OW849382.1||3,157,278,Human,E. hormaechei,Spain
GCA_020783215,CP086101.1||2,158,6,N/A,E. ludwigii,USA
GCA_020783235,CP086099.1||2,158,6,N/A,E. ludwigii,N/A
GCA_020783255,CP086100.1||2,158,6,N/A,E. ludwigii,N/A
GCA_030847825,CP126869.1||0,159,69,Human,E. hormaechei,Switzerland
GCA_030847845,CP126873.1||0,159,69,Human,E. hormaechei,Switzerland
GCA_031432895,CP133859.1||1,159,69,Human,E. hormaechei,United Kingdom
GCA_000025565,CP001918.1||2,160,279,N/A,E. cloacae,N/A
GCA_013376815,CP056776.1||1,160,279,N/A,E. cloacae,N/A
GCA_019047105,CP077211.1||2,160,279,N/A,E. cloacae,Germany
GCA_013873655,CP059414.1||2,161,171,Human,E. hormaechei,Czech Republic
GCA_013873945,CP059422.1||4,161,171,Human,E. hormaechei,Czech Republic
GCA_020695485,CP085748.1||2,161,171,Human,E. hormaechei,Czech Republic
GCA_020695705,CP085774.1||1,162,280,Human,E. hormaechei,Czech Republic
GCA_029962565,CP096994.1||0,162,280,N/A,E. hormaechei,Hong Kong
GCA_041005965,CP163118.1||0,162,280,Human,E. hormaechei,China
GCA_001729705,CP017180.1||2,163,101,N/A,E. hormaechei,Germany
GCA_013744415,CP056756.1||0,163,101,Environmental,E. hormaechei,United Kingdom
GCA_020097195,CP083613.1||1,163,101,N/A,E. hormaechei,Germany
GCA_015910325,CP048696.1||5,164,281,Environmental,E. hormaechei,Canada
GCA_015910345,CP049021.1||5,164,281,Environmental,E. hormaechei,Canada
GCA_022023895,CP066094.1||5,164,281,Environmental,E. hormaechei,Canada
GCA_030706805,CP131962.1||1,165,6,Human,E. ludwigii,USA
GCA_031851515,CP134649.1||1,165,6,Animal,E. ludwigii,France
GCA_041110985,CP169594.1||2,165,6,Human,E. ludwigii,USA
GCA_016767735,CP050311.1||1,166,99,Clinical,E. hormaechei,Australia
GCA_016767755,CP050506.1||1,166,99,Clinical,E. hormaechei,Australia
GCA_041005965,CP163118.1||4,166,99,Human,E. hormaechei,China
GCA_019046905,CP077206.1||1,167,81,N/A,E. bugandensis,Germany
GCA_020099235,CP083641.1||1,167,81,N/A,E. bugandensis,Germany
GCA_031218175,CP110983.1||3,167,81,Human,E. bugandensis,United Kingdom
GCA_027577865,CP114144.1||3,168,153,Human,E. hormaechei,USA
GCA_028872235,CP118383.1||3,168,153,Human,E. hormaechei,USA
GCA_028891505,CP118552.1||3,168,153,Human,E. hormaechei,USA
GCA_000025565,CP001918.1||0,169,282,N/A,E. cloacae,N/A
GCA_013376815,CP056776.1||2,169,282,N/A,E. cloacae,N/A
GCA_019047105,CP077211.1||1,169,282,N/A,E. cloacae,Germany
GCA_003031755,CP020528.1||0.2,170,283,Human,E. hormaechei,USA
GCA_030718955,CP132209.1||1.2,170,283,Human,E. hormaechei,USA
GCA_041004475,CP163090.1||0.2,170,283,Human,E. hormaechei,China
GCA_001729805,CP017184.1||2,171,15,N/A,E. roggenkampii,Germany
GCA_013389415,CP058253.1||2,171,15,N/A,E. roggenkampii,China
GCA_019047025,CP077407.1||2,171,15,N/A,E. roggenkampii,Germany
GCA_003408575,CP031573.1||1,172,50,N/A,E. hormaechei,N/A
GCA_003408595,CP031576.1||1,172,50,N/A,E. hormaechei,N/A
GCA_030848045,CP126793.1||0,172,50,N/A,E. hormaechei,N/A
GCA_018075005,CP072946.1||0,173,173,N/A,E. hormaechei,N/A
GCA_019048625,CP077392.1||3,173,173,N/A,E. hormaechei,Germany
GCA_035594185,CP141538.1||0,173,173,Human,E. hormaechei,United Kingdom
GCA_003031755,CP020528.1||4,174,284,Human,E. hormaechei,USA
GCA_030718955,CP132209.1||3,174,284,Human,E. hormaechei,USA
GCA_041004475,CP163090.1||3,174,284,Human,E. hormaechei,China
GCA_020695705,CP085774.1||6,175,133,Human,E. hormaechei,Czech Republic
GCA_024917635,CP103642.1||4,175,133,Human,E. hormaechei,USA
GCA_029962565,CP096994.1||4,175,133,N/A,E. hormaechei,Hong Kong
GCA_019458525,CP080470.1||5,176,97,Human,E. hormaechei,China
GCA_019537275,JAIEUB010000001.1||3,176,97,Human,E. hormaechei,China
GCA_023547225,CP088221.1||5,176,97,Human,E. hormaechei,China
GCA_003031755,CP020528.1||5,177,41,Human,E. hormaechei,USA
GCA_030718955,CP132209.1||4,177,41,Human,E. hormaechei,USA
GCA_041004475,CP163090.1||2,177,41,Human,E. hormaechei,China
GCA_015238615,CP047965.1||4,178,53,N/A,E. hormaechei,N/A
GCA_020886835,AP024913.1||5,178,53,N/A,E. hormaechei,Japan
GCA_043234225,CP171274.1||3,178,53,Human,E. hormaechei,China
GCA_009497055,CP045611.1||2,179,5,N/A,E. hormaechei,Lebanon
GCA_019056615,CP077660.1||2,179,5,Clinical,E. hormaechei,China
GCA_031166165,CP133342.1||2,179,5,Clinical,E. hormaechei,N/A
GCA_003204095,CP029716.1||4,180,51,N/A,E. hormaechei,N/A
GCA_003408555,CP031565.1||4,180,51,Human,E. hormaechei,N/A
GCA_003940765,CP034336.1||7,180,51,Environmental,Isolate phage,USA
GCA_008931325,CP042566.1||5,181,285,Human,E. hormaechei,Australia
GCA_008931585,CP042540.1||5,181,285,Human,E. hormaechei,Australia
GCA_038626985,CP156943.1||5,181,285,Human,E. hormaechei,USA
GCA_013624605,CP058128.1||5,182,156,Environmental,E. hormaechei,United Kingdom
GCA_013624995,CP058146.1||5,182,156,Environmental,E. hormaechei,United Kingdom
GCA_013739595,CP056663.1||9,182,156,Environmental,E. hormaechei,United Kingdom
GCA_023735915,AP025911.1||0.1,183,170,N/A,E. hormaechei,Japan
GCA_023735935,AP025915.1||0.1,183,170,N/A,E. hormaechei,Japan
GCA_023735995,AP025927.1||0.1,183,170,N/A,E. hormaechei,Japan
GCA_013784105,CP056393.1||4,184,167,Environmental,E. ludwigii,United Kingdom
GCA_031851585,CP134670.1||2,184,167,N/A,E. ludwigii,France
GCA_031851605,CP134671.1||2,184,167,N/A,E. ludwigii,France
GCA_021869665,CP091486.1||5,185,174,Clinical,E. hormaechei,China
GCA_038069265,CP156939.1||5,185,174,Human,E. hormaechei,USA
GCA_041005825,CP163109.1||5,185,174,Human,E. hormaechei,China
Isolate phage,OL355128.1,186,30,N/A,Isolate phage,USA
Isolate phage,OL355125.1,186,30,N/A,Isolate phage,USA
Isolate phage,OL355127.1,186,30,N/A,Isolate phage,USA
GCA_023735915,AP025911.1||1,187,9,N/A,E. hormaechei,Japan
GCA_023735935,AP025915.1||1,187,9,N/A,E. hormaechei,Japan
GCA_023735995,AP025927.1||1,187,9,N/A,E. hormaechei,Japan
GCA_013624605,CP058128.1||0.2,188,161,Environmental,E. hormaechei,United Kingdom
GCA_013624995,CP058146.1||0.2,188,161,Environmental,E. hormaechei,United Kingdom
GCA_013739595,CP056663.1||0.2,188,161,Environmental,E. hormaechei,United Kingdom
GCA_027577865,CP114144.1||0,189,286,Human,E. hormaechei,USA
GCA_028872235,CP118383.1||0,189,286,Human,E. hormaechei,USA
GCA_028891505,CP118552.1||0,189,286,Human,E. hormaechei,USA
GCA_905231975,OW849497.1||6,190,287,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||6,190,287,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||6,190,287,Human,E. asburiae,Spain
GCA_905219245,OW849077.1||3,191,58,Human,E. roggenkampii,Spain
GCA_905331255,OW969601.1||1,191,58,Human,E. roggenkampii,Spain
GCA_905337795,OW969724.1||3,191,58,N/A,E. roggenkampii,Spain
GCA_025311535,CP104401.1||5,192,165,N/A,E. hormaechei,Poland
GCA_025311555,CP104403.1||5,192,165,N/A,E. hormaechei,Poland
GCA_025311595,CP104405.1||5,192,165,N/A,E. hormaechei,Poland
GCA_030848065,CP126783.1||6,193,293,Human,E. hormaechei,Switzerland
GCA_030863665,CP114985.1||6,193,293,Animal,E. hormaechei,Thailand
GCA_032202905,CP126778.1||6,193,293,Human,E. hormaechei,Switzerland
GCA_001729705,CP017180.1||3,194,51,N/A,E. hormaechei,Germany
GCA_013744415,CP056756.1||3,194,51,Environmental,E. hormaechei,United Kingdom
GCA_020097195,CP083613.1||3,194,51,N/A,E. hormaechei,Germany
GCA_000750225,CP008897.1||2,195,288,Clinical,E. hormaechei,USA
GCA_000750275,CP008905.1||2,195,288,Human,E. hormaechei,USA
GCA_000784905,CP009854.1||2,195,288,Environmental,E. hormaechei,USA
GCA_021869665,CP091486.1||6,196,83,Clinical,E. hormaechei,China
GCA_038069265,CP156939.1||6,196,83,Human,E. hormaechei,USA
GCA_041005825,CP163109.1||6,196,83,Human,E. hormaechei,China
GCA_905231975,OW849497.1||5,197,289,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||5,197,289,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||5,197,289,Human,E. asburiae,Spain
GCA_905231975,OW849497.1||4,198,166,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||4,198,166,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||4,198,166,Human,E. asburiae,Spain
GCA_030847705,CP126831.1||1,199,99,Human,E. hormaechei,Switzerland
GCA_030847725,CP126837.1||1,199,99,Human,E. hormaechei,Switzerland
GCA_032202545,CP126841.1||1,199,99,Human,E. hormaechei,Switzerland
GCA_003031755,CP020528.1||6,200,290,Human,E. hormaechei,USA
GCA_030718955,CP132209.1||5,200,290,Human,E. hormaechei,USA
GCA_041004475,CP163090.1||4,200,290,Human,E. hormaechei,China
GCA_027577865,CP114144.1||1,201,63,Human,E. hormaechei,USA
GCA_028872235,CP118383.1||1,201,63,Human,E. hormaechei,USA
GCA_028891505,CP118552.1||1,201,63,Human,E. hormaechei,USA
GCA_905231975,OW849497.1||2,202,32,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||2,202,32,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||2,202,32,Human,E. asburiae,Spain
GCA_905231975,OW849497.1||3,203,291,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||3,203,291,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||3,203,291,Human,E. asburiae,Spain
GCA_905231975,OW849497.1||1,204,292,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||1,204,292,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||1,204,292,Human,E. asburiae,Spain
GCA_027886505,CP115672.1||2,205,295,Human,E. hormaechei,USA
GCA_027886545,CP115696.1||2,205,295,Human,E. hormaechei,USA
GCA_029948145,CP124121.1||2,205,295,Human,E. hormaechei,USA
GCA_025311535,CP104401.1||3,206,154,N/A,E. hormaechei,Poland
GCA_025311555,CP104403.1||3,206,154,N/A,E. hormaechei,Poland
GCA_025311595,CP104405.1||2,206,154,N/A,E. hormaechei,Poland
GCA_001022015,CP011572.1||0,207,54,Human,E. hormaechei,USA
GCA_001022075,CP011581.1||1,207,54,Human,E. hormaechei,USA
GCA_001874505,CP011662.1||0,207,54,Human,E. hormaechei,USA
GCA_905231975,OW849497.1||0.2,208,124,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||0.2,208,124,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||0.2,208,124,Human,E. asburiae,Spain
GCA_905231975,OW849497.1||0.1,209,294,Human,E. asburiae,Spain
GCA_905232655,OW849234.1||0.1,209,294,Human,E. asburiae,Spain
GCA_905232685,OW849203.1||0.1,209,294,Human,E. asburiae,Spain
GCA_013873655,CP059414.1||1,210,177,Human,E. hormaechei,Czech Republic
GCA_020695485,CP085748.1||1,210,177,Human,E. hormaechei,Czech Republic
GCA_020695585,CP085753.1||2,210,177,Human,E. hormaechei,Czech Republic
GCA_008931785,CP043766.1||3,211,240,Human,E. hormaechei,United Kingdom
GCA_905330345,OW968018.1||1,211,240,Human,E. hormaechei,Spain
GCA_023333675,CP083862.1||4,212,260,Human,E. kobei,China
GCA_031201845,CP096849.1||3,212,260,N/A,E. kobei,China
GCA_030179805,CP109692.1||3,213,4,Human,E. asburiae,USA
GCA_031167025,CP133351.1||3,213,4,Clinical,E. asburiae,N/A
Isolate phage,MT341500.1,214,30,N/A,Isolate phage,Pakistan
Isolate phage,PP337149.1,214,30,N/A,Isolate phage,Egypt
GCA_002211685,CP022148.1||0.2,215,236,Environmental,E. roggenkampii,Switzerland
GCA_020881955,CP086405.1||1,215,236,Environmental,E. roggenkampii,China
GCA_003204095,CP029718.1||0,216,50,N/A,E. hormaechei,N/A
GCA_019856235,CP082149.1||1,216,50,N/A,E. kobei,N/A
GCA_905219205,OW849092.1||0,217,443,Human,E. roggenkampii,Spain
GCA_905331215,OW968358.1||3,217,443,Human,E. roggenkampii,Spain
GCA_003254805,CP030007.1||2,218,121,Environmental,E. hormaechei,South Africa
GCA_013726395,CP056132.1||4,218,121,Environmental,E. hormaechei,United Kingdom
GCA_009497055,CP045611.1||0.2,219,444,N/A,E. hormaechei,Lebanon
GCA_030848085,CP126798.1||2,219,444,Human,E. hormaechei,Switzerland
Isolate phage,MN508621.2,220,30,N/A,Isolate phage,USA
Isolate phage,PQ096438.1,220,30,N/A,Isolate phage,N/A
GCA_001729725,CP017179.1||3,221,42,Human,E. hormaechei,Belgium
GCA_019047945,CP077264.1||2,221,42,N/A,E. hormaechei,Germany
GCA_015135855,AP022446.1||8,222,445,N/A,E. kobei,Japan
GCA_023023665,CP083849.1||5,222,445,Human,E. hormaechei,China
